#t_start      t_end         t_max         lc_amp        
2037.4438     2037.4535     2037.4438     6.8383        
2037.6744     2037.7160     2037.6757     30.6410       
2037.7160     2037.7355     2037.7202     10.8686       
2039.1827     2039.1966     2039.1841     11.0581       
2039.3494     2039.3577     2039.3494     8.0450        
2039.8230     2039.8327     2039.8230     2.6752        
2042.4856     2042.5217     2042.4856     14.4594       
2047.2135     2047.2399     2047.2149     8.8164        
2047.3468     2047.3551     2047.3482     8.6958        
2051.4441     2051.4677     2051.4455     4.6765        
2053.4288     2053.4733     2053.4302     30.4059       
2054.2788     2054.3122     2054.2927     2.3222        
2056.8288     2056.8538     2056.8316     7.6905        
2056.9094     2057.0441     2056.9177     18.1577       
2057.0497     2057.0608     2057.0538     0.8005        
2057.7983     2057.8108     2057.7997     22.9211       
2058.2413     2058.2483     2058.2413     4.0251        
2058.8372     2058.8469     2058.8386     11.7921       
2059.5483     2059.5622     2059.5511     11.5356       
2060.5025     2060.5108     2060.5080     1.8255        
